"id","date","assetid","assetname","telemetryid","telemetryname","containerid","sensorid","value","valueasstr","datatype","tenantid","timeseriedataloglabelrelationid"
"0f3766d8-207f-46eb-afae-5b75aed658be",2022-11-15 17:23:10.726,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.87,"24.87",0,d06de686-be8e-4504-070c-08da59c702e6,
"3bb038a9-dfbd-4da7-bd68-27f7e459c46b",2022-11-15 17:23:10.726,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.87,"24.87",0,d06de686-be8e-4504-070c-08da59c702e6,
e7acd4ba-cc52-4b0f-b283-a3df6db6506c,2022-11-15 17:23:10.726,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.87,"24.87",0,d06de686-be8e-4504-070c-08da59c702e6,
"9d128932-7f16-42af-8be1-5f4f93a8dcc4",2022-11-15 17:27:40.889,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.87,"24.87",0,d06de686-be8e-4504-070c-08da59c702e6,
"1ef50c33-1074-42aa-b6f1-866b88ed3518",2022-11-15 17:27:40.889,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.87,"24.87",0,d06de686-be8e-4504-070c-08da59c702e6,
e248f109-4cab-4275-94f8-a11ff7056f52,2022-11-15 17:27:40.889,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.87,"24.87",0,d06de686-be8e-4504-070c-08da59c702e6,
"304b5384-cef0-4e91-a1de-7c055daf5367",2022-11-15 17:32:09.904,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.86,"24.86",0,d06de686-be8e-4504-070c-08da59c702e6,
"7f037c11-bf99-4bb7-a977-419a9e9df462",2022-11-15 17:32:09.904,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.86,"24.86",0,d06de686-be8e-4504-070c-08da59c702e6,
"1340d7cc-bc33-4f03-9dd6-d9c1e81b8b46",2022-11-15 17:32:09.904,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.86,"24.86",0,d06de686-be8e-4504-070c-08da59c702e6,
"5629df71-6d94-4e2b-b686-ef2609b2ac9d",2022-11-15 17:36:35.633,"4a8b49a1-05dc-4667-5998-08dac15b184a",Divan,"28e6f516-c5a1-48c9-44dc-08dab1cb22a9",Divan Sicaklik 1,/cim-sp1_d06de686-be8e-4504-070c-08da59c702e6/cnt_6d1b8ede-e70d-4132-a296-5436d235d455,"00000000-0000-0000-0000-000000000000",24.84,"24.84",0,d06de686-be8e-4504-070c-08da59c702e6,
